,Antananarivo-Renivohitra,Antsirabe,Ambositra,Fianarantsoa,Ihosy,Toliara,Manakara,Farafangana,Morondava,Tolanaro,Ambovombe-Androy,Miarinarivo,Tsiroanomandidy,Ambatondrazaka,Toamasina,Fenoarivo Atsinanana,Maevatanana,Mahajanga,Antsohihy,Sambava,Antsiranana,Maintirano
Antananarivo-Renivohitra,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Antsirabe,0.166666667,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ambositra,0.25,0.083333333,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Fianarantsoa,0.427083333,0.260416667,0.177083333,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ihosy,0.541666667,0.458333333,0.291666667,0.135416667,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Toliara,1,0.833333333,0.666666667,0.302083333,0.166666667,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Manakara,0.625,0.458333333,0.375,0.197916667,0.333333333,0.5,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Farafangana,0.71875,0.552083333,0.46875,0.291666667,0.427083333,0.59375,0.09375,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Morondava,0.541666667,0.375,0.291666667,0.416666667,0.552083333,0.71875,0.614583333,0.708333333,0,x,x,x,x,x,x,x,x,x,x,x,x,x
Tolanaro,2,1.833333333,1.75,1.572916667,1.458333333,1.083333333,0.59375,0.5,1.208333333,0,x,x,x,x,x,x,x,x,x,x,x,x
Ambovombe-Androy,1.75,1.583333333,1.5,1.322916667,1.208333333,0.833333333,0.84375,0.75,1.458333333,0.25,0,x,x,x,x,x,x,x,x,x,x,x
Miarinarivo,0.083333333,0.25,0.333333333,0.510416667,0.625,1.083333333,0.708333333,0.802083333,0.625,2.083333333,1.833333333,0,x,x,x,x,x,x,x,x,x,x
Tsiroanomandidy,0.166666667,0.333333333,0.416666667,0.59375,0.708333333,1.166666667,0.791666667,0.885416667,0.708333333,2.166666667,1.916666667,0.083333333,0,x,x,x,x,x,x,x,x,x
Ambatondrazaka,0.291666667,0.458333333,0.541666667,0.71875,0.833333333,1.291666667,0.916666667,1.010416667,0.833333333,2.291666667,2.041666667,0.375,0.458333333,0,x,x,x,x,x,x,x,x
Toamasina,0.333333333,0.5,0.583333333,0.760416667,0.875,1.333333333,0.958333333,1.052083333,0.875,2.333333333,2.083333333,0.416666667,0.5,0.416666667,0,x,x,x,x,x,x,x
Fenoarivo Atsinanana,0.5,0.666666667,0.75,0.927083333,1.041666667,1.5,1.125,1.135416667,1.041666667,2.5,2.25,0.583333333,0.666666667,0.583333333,0.166666667,0,x,x,x,x,x,x
Maevatanana,0.25,0.416666667,0.5,0.427083333,0.791666667,1.25,0.875,0.96875,0.791666667,2.25,2,0.333333333,0.416666667,0.541666667,0.583333333,0.75,0,x,x,x,x,x
Mahajanga,0.479166667,0.625,0.708333333,0.90625,1.020833333,1.479166667,1.104166667,1.197916667,1.020833333,2.479166667,2.229166667,0.5625,0.645833333,0.770833333,0.8125,0.9375,0.229166667,0,x,x,x,x
Antsohihy,0.5,0.666666667,0.75,0.927083333,1.041666667,1.5,1.125,1.21875,1.041666667,2.5,2.25,0.583333333,0.666666667,0.791666667,0.791666667,1,0.25,0.375,0,x,x,x
Sambava,2,2.166666667,2.25,2.427083333,2.541666667,3,2.625,2.71875,2.541666667,4,3.75,2.083333333,2.166666667,2.291666667,2.291666667,2.5,1.75,1.875,1.5,0,x,x
Antsiranana,1.125,1.166666667,1.25,1.427083333,1.666666667,2.125,1.75,1.84375,1.666666667,3.125,2.59375,1.208333333,1.291666667,1.416666667,1.416666667,1.625,0.875,0.916666667,0.541666667,1.25,0,x
Maintirano,1.479166667,1.625,1.708333333,1.90625,2.020833333,2.479166667,2.104166667,2.197916667,2,3.479166667,3.229166667,1.5625,2,1.770833333,1.8125,1.9375,1.229166667,1,1.375,2.875,1.916666667,0