ID,REGION,ADM1_EN,Capital,Mathematica,Code
1,ANALAMANGA,Analamanga,Antananarivo-Renivohitra,Analamanga,AN
2,BONGOLAVA,Bongolava,Tsiroanomandidy,Bongolava,BG
3,ITASY,Itasy,Miarinarivo,Itasy,IT
4,VAKINANKARATRA,Vakinankaratra,Antsirabe,Vakinankaratra,VA
5,DIANA,Diana,Antsiranana,Diana,DI
6,SAVA,Sava,Sambava,Sava,SA
7,AMORON-I-MANIA,Amoron I Mania,Ambositra,AmoroniMania,AM
8,ATSIMO-ATSINANANA,Atsimo Atsinanana,Farafangana,AtsimoAtsinanana,AA
9,HAUTE MATSIATRA,Haute Matsiatra,Fianarantsoa,HauteMatsiatra,MA
10,IHOROMBE,Ihorombe,Ihosy,Ihorombe,IH
11,VATOVAVY FITOVINANY,Vatovavy Fitovinany,Manakara,VatovavyFitovinany,VF
12,BETSIBOKA,Betsiboka,Maevatanana,Betsiboka,BE
13,BOENY,Boeny,Mahajanga,Boeny,BO
14,MELAKY,Melaky,Maintirano,Melaky,MK
15,SOFIA,Sofia,Antsohihy,Sofia,SO
16,ALAOTRA-MANGORO,Alaotra Mangoro,Ambatondrazaka,AlaotraMangoro,AL
17,ANALANJIROFO,Analanjirofo,Fenoarivo Atsinanana,Analanjirofo,AJ
18,ATSINANANA,Atsinanana,Toamasina,Atsinanana,AT
19,ANDROY,Androy,Ambovombe-Androy,Androy,AY
20,ANOSY,Anosy,Tolanaro,Anosy,AS
21,ATSIMO-ANDREFANA,Atsimo Andrefana,Toliara,AtsimoAndrefana,AD
22,MENABE,Menabe,Morondava,Menabe,ME